id,timestamp,tweet_text,username,location,coordinates,place_json,all_hashtags,followers_count
1362356450027257862,2021-02-18 11:01:03,"b""Register to participate in today's online consultation meeting @ 6.30 pm to have your say on the solar panels project at the @TabernacleW11.  \xe2\x9e\xa1\xef\xb8\x8fRegister here: https://t.co/Lc6OpLItSQ  #communityfinance #communityenergy #climatechange #climateaction https://t.co/F3tmkJYmxl""",b'NorthKenCE',,,,"['communityfinance', 'communityenergy', 'climatechange', 'climateaction']",326
1362508005401591826,2021-02-18 21:03:17,"b'A really important discussion @CoppiceJT, thank you for sharing with your host a route map for #communityenergy #decarbonisation #ClimateAction https://t.co/5rzTBbPdPh'",b'OakesEnviron',East Anglia,,,"['communityenergy', 'decarbonisation', 'ClimateAction']",717
1362684777900433408,2021-02-19 08:45:43,"b'Wondering where @Muintir_na_Tire, our newest member, is located? Check our #communityenergy map \xf0\x9f\x97\xba\xef\xb8\x8f https://t.co/RNpizsmAY7  \xf0\x9f\x93\x8cAlso find @Denderstroom, @MegaWattPuur, @EnergiErkidegoa and \xc3\x96tzi Coop as recent additions.  Put your own project on the map \xf0\x9f\x91\x89 https://t.co/P4hGFdQ8fJ https://t.co/7LRCaIPLlV'",b'REScoopEU',Europe,,,['communityenergy'],5985
1362701986278293506,2021-02-19 09:54:05,"b'Naomi did have Russian food yesterday it seems. Anyway, souvlaki&gt;pirozhki. #localenergy'",b'panagiotis___',🐚🇬🇷,,,['localenergy'],926
1362715191436324864,2021-02-19 10:46:34,b'What are the opportunities &amp; challenges for potential energy #citizens?\xf0\x9f\x92\xa1  @REScoopEU has published a report about energy cooperatives focusing on #EnergyPoverty and #consumer engagement.   Check it out! \xf0\x9f\x91\x89https://t.co/N2x0QmEAuB   @RightToEnergy | #CommunityEnergy | #H2020Energy https://t.co/LXPx1MZvj0',b'Twinergy_EU',,,,"['citizens', 'EnergyPoverty', 'consumer', 'CommunityEnergy', 'H2020Energy']",82
1362732292247011328,2021-02-19 11:54:31,"b""The #CommunityEnergy paper by @IRENA's #CoalitionforAction finds that citizen-driven #renewableenergy can generate:  \xf0\x9f\x94\xb6 local jobs &amp; development \xf0\x9f\x94\xb6 local reinvestment of financial returns \xf0\x9f\x94\xb6 local #health benefits through reduced pollution \xf0\x9f\x91\x89 https://t.co/3YoKHDdhby https://t.co/soN4KUJQUE""",b'IRENA',Abu Dhabi ,,,"['CommunityEnergy', 'CoalitionforAction', 'renewableenergy', 'health']",96150
1362747797783601153,2021-02-19 12:56:08,b'@VodafoneIEbiz When will your network be fully powered by renewables  #solarenergy #windenergy #communityenergy',b'sailshipearth',"Dublin City, Ireland",,,"['solarenergy', 'windenergy', 'communityenergy']",52
1362750285488164865,2021-02-19 13:06:01,b'New research show just how viable #localenergy can be. It finds that rooftop and facade solar can meet 40% of the annual electricity demand of a standard-sized office building! https://t.co/Rd03C3hOEs https://t.co/DmbiIAaerV',b'FreeingEnergy',"Atlanta, GA",,,['localenergy'],475
1362779705510948867,2021-02-19 15:02:55,"b""Congratulations to @egnicoop as it smashes its community share offer target. We're pleased to be a member of the co-op &amp; that our #impactinvestment continues to support the \xe2\x80\x98solarisation\xe2\x80\x99 of Wales with #CommunityEnergy https://t.co/W0HPGuxndc""",b'FProvFoundation',"York, England",,,"['impactinvestment', 'CommunityEnergy']",1735
1362782736101085187,2021-02-19 15:14:58,b'#localenergy in Texas https://t.co/xYOs1ubDjE',b'FreeingEnergy',"Atlanta, GA",,,['localenergy'],475
1362796650725601284,2021-02-19 16:10:15,"b""To end the week, we're excited to share news that @CommonsEAC has launched an inquiry looking at what role #communityenergy could play in decarbonising energy &amp; heat. Our view is comm energy is fundamentally important to achieving this. More news soon... https://t.co/b7X9r2za3D""",b'Comm1nrg',United Kingdom,,,['communityenergy'],3602
1362859509622992900,2021-02-19 20:20:02,b'@VodafoneIEbiz When will your network be fully powered by renewables  #energyresilience #solarenergy #windenergy #communityenergy',b'sailshipearth',"Dublin City, Ireland",,,"['energyresilience', 'solarenergy', 'windenergy', 'communityenergy']",52
1362908567976611840,2021-02-19 23:34:58,"b""Who says you can't benefit from owning solar when you rent? Or lease business premises? Or have a south-facing roof? #EnergyDemocracyAU #CommunityOwned #CommunityEnergy #CentralWestNSW #Cooperative  Download more info here: https://t.co/0iHe6FqkWQ https://t.co/HarirHBiqV""",b'ed_co_op',,,,"['EnergyDemocracyAU', 'CommunityOwned', 'CommunityEnergy', 'CentralWestNSW', 'Cooperative']",456
1363068386335408130,2021-02-20 10:10:02,b'Great to see @briznrg featured on this @MicrogridNews article which takes a look at the work their current share offer will help deliver! #solar #communityowned #microgrids #energy #communityenergy https://t.co/iTEbS5Ul1b',b'LowCarbonHub',"OXFORD, UK",,,"['solar', 'communityowned', 'microgrids', 'energy', 'communityenergy']",4084
